vessel_id,SpeedOG,FOCDeviation,wind_speed,draft
1007,16.57,53.8,10.15,11.45
1007,17.29,41.6,10.15,11.375
1007,17.91,37.1,10.15,11.29
1007,18.43,27.7,10.15,11.21
1007,18.6,24.1,10.15,11.185
1007,18.7,21.4,10.15,11.185
1007,18.71,20.2,10.15,11.18
1007,18.8,18.8,10.15,11.195
1007,18.8,18.4,10.15,11.17
1007,18.74,19.4,10.15,11.155
1007,18.76,19.2,10.15,11.165
1007,18.83,18.5,10.15,11.175
1007,18.9,16.3,8.24,11.17
1007,18.8,17.4,8.24,11.155
1007,18.86,16.7,8.24,11.165
1007,18.81,16.8,8.24,11.155
1007,18.79,17.3,8.24,11.16
1007,18.81,17,8.24,11.155
1007,18.8,17.1,8.24,11.135
1007,18.39,24.6,8.24,11.12
1007,18.59,19.9,8.24,11.1
1007,18.74,17.4,8.24,11.11
1007,18.76,16.3,8.24,11.125
1007,18.72,17.4,8.24,11.1
1007,18.61,16.2,9.93,11.085
1007,18.6,17.2,9.93,11.125
1007,18.64,16.1,9.93,11.105
1007,18.6,17,9.93,11.09
1007,18.65,15.7,9.93,11.115
1007,18.52,17.7,9.93,11.1
1007,18.42,20.7,9.93,11.12
1007,18.41,19.6,9.93,11.11
1007,18.3,21.9,9.93,11.095
1007,18.31,22.1,9.93,11.1
1007,18.31,21.5,9.93,11.12
1007,18.31,21.8,9.93,11.11
1007,19.24,14.2,12.52,11.06
1007,19.27,14.8,12.52,11.045
1007,19.27,13.9,12.52,11.075
1007,19.16,16,12.52,11.065
1007,19.1,17,12.52,11.05
1007,18.99,19.1,12.52,11.075
1007,19,18.8,12.52,11.04
1007,18.7,24.7,12.52,11.05
1007,18.61,26.2,12.52,11.055
1007,18.7,25,12.52,11.075
1007,18.59,26.7,12.52,11.06
1007,18.53,28.5,12.52,11.035
1007,18.46,24.6,10.42,11.055
1007,18.6,21.4,10.42,11.055
1007,18.77,18.1,10.42,11.035
1007,18.88,18.5,10.42,11.04
1007,18.65,20.7,10.42,11.045
1007,18.54,28.7,10.42,11.03
1007,18.54,26.2,10.42,11.055
1007,18.78,20.1,10.42,11.025
1007,18.81,19.7,10.42,11.035
1007,18.58,24.4,10.42,11.03
