Unnamed: 0,IMO,VesselId,VesselObjectId,StartDateUTC,EndDateUTC,LogDurationMinutes,PortCallId,NoonLogId,ME1RunningHoursMinute,ME2RunningHoursMinute,SpeedOG,SpeedTW,CorrectedSpeed,IdealSpeed,SpeedDrop,ApparentSlip,ME1EffectivePower,ME2EffectivePower,ME1IdealLightRunPower,ME2IdealLightRunPower,MEShaftPowerActual,MEDeliveredPowerActual,AddedPowerWeather,CorrectedPowerDelivered,PwrDlvOnSpeed,PwrDlvOnRPM,IdlPwrDlvOnSpeed,PwrDlvrDevOnSpeed,IdlPwrDlvOnRPM,PwrDlvrDevOnRPM,ME1ActualRPM,ME2ActualRPM,CorrectedRPM,ISOCorrectedRPM,IdealRPM,RPMDeviation,ISOCorrectedFOC,ISOIdealFOC,MEFOCDeviation,MEFOCIdealPD,MEFOCDeviationOnPD,MEFOCIdealPDCor,MEFOCDeviationOnPDCor,MEActualSFOC,ISOCorrectedSFOC,ISOIdealSFOC,ISOSFOCDeviation,ME1MCR,ME2MCR,AutoLogValidityIndex,IsSpeedDropValid,IsApparentSlipValid,IsDeltaFOCMEValid,IsDeltaPDOnSpeedValid,IsDeltaPDOnRPMValid,IsDeltaNpropValid,IsDeltaSFOCMEValid,AddedFOCEngine,AddedFOCSpeedDrop,AddedFOCRPM,AddedFOCRateEngine,AddedFOCRateSpeedDrop,AddedFOCRateRPM,AddedEnergy,AddedFOCHPRolling,AddedFOCMERolling,BFScale,NormPowerDesign,IdealPowerDesign,CreatedOn,WindSpeedUsed,MeanDraft,WindSpeed,WindDirection,Heading,AirTemperature,AirPressure,RelativeWindDirection,PowerWindWithDeflector,PowerWindNoDeflector,SavedFOCbyDeflector,FOCWindPowerDeflector,FOCWindPowerNoDeflector
0,9967469,1032,1032,10-12-2024 06:00,10-12-2024 06:10,10,,,9.0,,14.04,14.0,14.0,14.29,2.0,11.0,10287.56,,,,10184.68,10082.83,5022.48,5060.36,5060.36,5060.36,4714.87,7.3,3812.19,32.7,51.0,,43.0,43.0,46.0,-6.2,0.15,0.12,18.9,0.25,6.0,0.13,103.6,175.32,165.88,158.01,5.0,39.5,,37.5,1,1,0,0,0,0,1,0.0121,0.0113,0,1.9418,1.815,0,51.8224,1.815,1.9418,8,19633.7,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,35.66,25.5,1009.25,11.426855641243325,,2875.102100025684,,,0.06573456729056171
1,9967469,1032,1032,10-12-2024 06:10,10-12-2024 06:20,10,,,10.0,,13.73,13.69,13.69,14.5,5.6,12.8,10398.29,,,,10294.31,10191.37,4882.33,5309.03,5309.03,5309.03,4375.66,21.3,3957.82,34.1,51.0,,43.0,43.0,45.0,-2.9,0.17,0.13,32.1,0.28,5.8,0.15,96.5,174.95,165.53,157.94,4.8,40.0,,37.5,1,1,0,0,0,0,1,0.0132,0.0281,0,1.8947,4.053,0,155.5624,4.053,1.8947,8,22195.4,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,35.66,25.5,1009.25,11.514142196367393,,2781.4749374811854,,,0.0697821383383691
2,9967469,1032,1032,10-12-2024 06:20,10-12-2024 06:30,10,,,5.0,,13.56,13.52,13.52,14.69,8.0,13.8,10574.36,,,,10468.62,10363.93,4817.85,5546.08,5546.08,5546.08,4191.16,32.3,4067.98,36.3,51.0,,44.0,44.0,44.0,-0.8,0.09,0.06,46.0,0.14,7.3,0.08,94.5,177.28,167.74,157.83,6.3,40.6,,37.5,1,1,0,0,0,0,1,0.0087,0.0198,0,2.5152,5.6979,0,112.9103,5.6979,2.5152,8,24207.1,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,35.04,25.5,1009.25,11.97749028468788,,2743.2406929317735,,,0.03204044727861825
3,9967469,1032,1032,10-12-2024 06:30,10-12-2024 06:40,10,,,9.0,,13.77,13.72,13.72,14.45,5.1,12.7,10386.73,,,,10282.86,10180.03,4925.33,5254.7,5254.7,5254.7,4407.65,19.2,3948.31,33.1,51.0,,43.0,43.0,45.0,-3.2,0.15,0.12,29.4,0.26,5.5,0.14,97.6,174.45,165.06,157.95,4.5,39.9,,37.5,1,1,0,0,0,0,1,0.0111,0.0232,0,1.7717,3.7172,0,127.0576,3.7172,1.7717,8,21808.8,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,34.33,25.5,1009.25,12.388435888820002,,2819.9894331165824,,,0.07201893043031815
4,9967469,1032,1032,10-12-2024 06:40,10-12-2024 06:50,10,,,9.0,,13.73,13.68,13.68,14.31,4.4,13.0,10193.2,,,,10091.27,9990.36,4903.52,5086.83,5086.83,5086.83,4366.5,16.5,3885.3,30.9,51.0,,43.0,43.0,45.0,-3.4,0.15,0.12,27.2,0.25,5.7,0.13,100.2,174.84,165.43,158.08,4.7,39.2,,37.5,1,1,0,0,0,0,1,0.0112,0.0202,0,1.7986,3.2272,0,108.0493,3.2272,1.7986,8,21311.0,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,34.54,25.5,1009.25,12.260628241427625,,2803.9513967970342,,,0.06625509288594567
5,9967469,1032,1032,10-12-2024 06:50,10-12-2024 07:00,10,,,10.0,,13.5,13.45,13.45,14.42,6.7,14.4,10225.51,,,,10123.25,10022.02,4803.52,5218.5,5218.5,5218.5,4123.27,26.6,3973.58,31.3,51.0,,43.0,43.0,44.0,-1.0,0.17,0.12,37.0,0.28,5.8,0.15,96.4,175.05,165.63,158.06,4.8,39.3,,37.5,1,1,0,0,0,0,1,0.0129,0.0323,0,1.8579,4.6561,0,182.538,4.6561,1.8579,8,23152.3,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,34.32,25.5,1009.25,12.478065493958903,,2738.7570242091574,,,0.07321245919797037
6,9967469,1032,1032,10-12-2024 07:00,10-12-2024 07:10,10,,,10.0,,13.53,13.45,13.45,14.44,6.8,14.0,10306.64,,,,10203.57,10101.53,4864.32,5237.21,5237.21,5237.21,4125.67,26.9,3927.85,33.3,51.0,,43.0,43.0,44.0,-1.4,0.17,0.12,38.0,0.28,6.1,0.15,97.7,175.38,165.94,158.0,5.0,39.6,,37.5,1,1,0,0,0,0,1,0.0136,0.0328,0,1.9637,4.7255,0,185.2559,4.7255,1.9637,8,23221.8,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,30.68,25.5,1009.25,14.91124447413144,,2799.2114699685703,,,0.07269599849745159
7,9967469,1032,1032,10-12-2024 07:10,10-12-2024 07:20,10,,,9.0,,13.75,13.68,13.68,14.37,4.8,12.7,10318.27,,,,10215.09,10112.94,4960.13,5152.81,5152.81,5152.81,4360.56,18.2,3866.82,33.3,51.0,,43.0,43.0,45.0,-3.5,0.15,0.12,29.6,0.25,6.0,0.13,100.8,175.31,165.87,157.99,5.0,39.7,,37.5,1,1,0,0,0,0,1,0.0122,0.022,0,1.9503,3.5135,0,118.8375,3.5135,1.9503,8,21616.8,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,31.18,25.5,1009.25,14.49623794715748,,2861.3908347463807,,,0.06466498791740108
8,9967469,1032,1032,10-12-2024 07:20,10-12-2024 07:30,10,,,8.0,,13.55,13.45,13.45,14.49,7.2,14.0,10401.7,,,,10297.68,10194.7,4891.31,5303.4,5303.4,5303.4,4125.18,28.6,3972.54,33.5,51.0,,43.0,43.0,44.0,-1.1,0.14,0.1,40.1,0.23,6.3,0.12,97.6,175.66,166.2,157.94,5.2,40.0,,37.5,1,1,0,0,0,0,1,0.0115,0.0277,0,2.0628,4.9896,0,157.096,4.9896,2.0628,8,23518.1,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,27.96,25.5,1009.25,16.732526605579118,,2826.2665640849914,,,0.06272386427924403
9,9967469,1032,1032,10-12-2024 07:30,10-12-2024 07:40,10,,,9.0,,13.83,13.75,13.75,14.35,4.2,12.3,10352.03,,,,10248.51,10146.02,5011.92,5134.11,5134.11,5134.11,4432.87,15.8,3864.86,32.8,51.0,,43.0,43.0,45.0,-4.0,0.15,0.12,27.0,0.26,5.9,0.13,101.8,175.03,165.61,157.97,4.8,39.8,,37.5,1,1,0,0,0,0,1,0.0119,0.0198,0,1.8974,3.1647,0,105.1859,3.1647,1.8974,8,21187.0,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,29.51,25.5,1009.25,15.581657747007146,,2903.0647908196,,,0.07487471057460116
10,9967469,1032,1032,10-12-2024 07:40,10-12-2024 07:50,10,,,10.0,,13.86,13.77,13.77,14.33,3.9,12.0,10339.6,,,,10236.2,10133.84,5029.2,5104.64,5104.64,5104.64,4461.21,14.4,3816.94,33.7,51.0,,43.0,43.0,45.0,-4.5,0.17,0.13,26.3,0.28,6.2,0.15,103.3,175.55,166.1,157.98,5.1,39.7,,37.5,1,1,0,0,0,0,1,0.014,0.0205,0,2.0149,2.9519,0,107.2374,2.9519,2.0149,8,20931.6,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,29.01,25.5,1009.25,15.903708621113358,,2916.406439275523,,,0.07499737062717271
11,9967469,1032,1032,10-12-2024 07:50,10-12-2024 08:00,10,,,8.0,,14.07,14.0,14.0,14.28,2.0,10.9,10362.67,,,,10259.04,10156.45,5109.54,5046.91,5046.91,5046.91,4708.91,7.2,3798.17,32.9,52.0,,43.0,43.0,46.0,-6.3,0.13,0.11,18.5,0.23,5.8,0.12,105.1,174.95,165.53,157.96,4.8,39.8,,37.5,1,1,0,0,0,0,1,0.0105,0.0099,0,1.8815,1.7846,0,45.0671,1.7846,1.8815,8,19606.3,18293.2,25-05-2025 15:26,20.51,9.6,20.51,53.0,31.02,25.5,1009.25,14.488675013762917,,2962.9625717473937,,,0.066517552049632
12,9967469,1032,1032,10-12-2024 08:00,10-12-2024 08:10,10,,,8.0,,13.82,13.83,13.83,14.64,5.6,12.3,10475.77,,,,10371.01,10267.3,4787.03,5480.27,5480.27,5480.27,4521.04,21.2,4059.54,35.0,51.0,,44.0,44.0,45.0,-3.2,0.14,0.11,32.3,0.23,6.1,0.13,92.6,175.29,165.85,157.89,5.0,40.3,,37.5,1,1,0,0,0,0,1,0.0111,0.0231,0,2.0012,4.1664,0,127.8973,4.1664,2.0012,9,22174.5,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,33.36,25.41,1010.11,15.772467114666618,,2905.5565068503374,,,0.06286881677647918
13,9967469,1032,1032,10-12-2024 08:10,10-12-2024 08:20,10,,,8.0,,13.95,13.97,13.97,14.54,4.0,11.5,10398.99,,,,10295.0,10192.05,4831.49,5360.56,5360.56,5360.56,4673.76,14.7,4006.82,33.8,51.0,,44.0,44.0,46.0,-4.6,0.14,0.11,25.7,0.23,5.9,0.12,95.0,175.12,165.7,157.94,4.9,40.0,,37.5,1,1,0,0,0,0,1,0.0108,0.0173,0,1.9352,3.1208,0,91.5739,3.1208,1.9352,9,20981.4,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,34.9,25.41,1010.11,14.697580119859003,,2931.630441459287,,,0.06506536699813481
14,9967469,1032,1032,10-12-2024 08:20,10-12-2024 08:30,10,,,10.0,,14.09,14.1,14.1,14.42,2.2,10.4,10325.33,,,,10222.08,10119.86,4907.98,5211.88,5211.88,5211.88,4821.24,8.1,3886.92,34.1,51.0,,43.0,43.0,46.0,-6.3,0.17,0.14,19.6,0.28,6.1,0.15,99.0,175.41,165.97,157.99,5.1,39.7,,37.5,1,1,0,0,0,0,1,0.0137,0.0138,0,1.9774,1.9911,0,65.1061,1.9911,1.9774,9,19775.4,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,33.35,25.41,1010.11,15.67475056146366,,2990.705329124003,,,0.0773928249467534
15,9967469,1032,1032,10-12-2024 08:30,10-12-2024 08:40,10,,,8.0,,14.14,14.14,14.14,14.56,2.9,10.4,10526.12,,,,10420.86,10316.65,4936.27,5380.39,5380.39,5380.39,4872.46,10.4,3987.85,34.9,51.0,,43.0,43.0,46.0,-5.9,0.14,0.11,21.8,0.23,6.1,0.12,96.8,175.25,165.81,157.86,5.0,40.5,,37.5,1,1,0,0,0,0,1,0.0112,0.0136,0,2.0093,2.45,0,67.723,2.45,2.0093,9,20200.2,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,32.46,25.41,1010.11,16.245424403107183,,3013.0245090981457,,,0.06412846366587505
16,9967469,1032,1032,10-12-2024 08:40,10-12-2024 08:50,10,,,7.0,,14.39,14.4,14.4,14.34,-0.4,8.6,10365.46,,,,10261.81,10159.19,5042.81,5116.39,5116.39,5116.39,5169.49,-1.0,3801.31,34.6,51.0,,43.0,43.0,47.0,-8.9,0.12,0.1,11.2,0.2,6.4,0.1,103.7,175.87,166.4,157.96,5.3,39.8,,37.5,1,1,0,0,0,0,1,0.0102,0.0015,0,2.0995,0.3073,0,,0.3073,2.0995,9,18105.3,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,33.44,25.41,1010.11,15.501068117171556,,3085.7370828198314,,,0.05923378428726872
17,9967469,1032,1032,10-12-2024 08:50,10-12-2024 09:00,10,,,6.0,,14.29,14.3,14.3,14.51,1.4,9.4,10522.43,,,,10417.21,10313.04,4995.14,5317.9,5317.9,5317.9,5053.81,5.2,3920.83,35.6,51.0,,43.0,43.0,47.0,-7.4,0.1,0.09,17.4,0.17,6.4,0.09,99.5,175.81,166.35,157.86,5.4,40.4,,37.5,1,1,0,0,0,0,1,0.0089,0.0064,0,2.144,1.5256,0,26.4089,1.5256,2.144,9,19249.1,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,33.73,25.41,1010.11,15.347499797069403,,3051.095401919881,,,0.046274217781802005
18,9967469,1032,1032,10-12-2024 09:00,10-12-2024 09:10,10,,,7.0,,14.51,14.53,14.53,14.37,-1.1,7.9,10446.72,,,,10342.25,10238.83,5082.43,5156.4,5156.4,5156.4,5323.09,-3.1,3810.03,35.3,51.0,,43.0,43.0,48.0,-9.6,0.12,0.11,7.4,0.2,5.5,0.1,102.1,174.37,164.98,157.91,4.5,40.2,,37.5,1,1,0,0,0,0,1,0.0086,,0,1.7736,,0,,,1.7736,9,17720.4,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,34.97,25.41,1010.11,14.452167056922214,,3108.358072291501,,,0.058149945723475344
19,9967469,1032,1032,10-12-2024 09:10,10-12-2024 09:20,10,,,10.0,,14.49,14.5,14.5,14.41,-0.6,7.8,10491.58,,,,10386.66,10282.79,5085.92,5196.88,5196.88,5196.88,5290.62,-1.8,3793.22,37.0,51.0,,43.0,43.0,47.0,-9.6,0.17,0.15,9.8,0.29,6.1,0.15,102.6,175.3,165.86,157.88,5.1,40.3,,37.5,1,1,0,0,0,0,1,0.014,0.0011,0,2.0095,0.1513,0,,0.1513,2.0095,9,17969.1,18293.2,25-05-2025 15:26,21.56,9.6,21.56,57.13,33.72,25.41,1010.11,15.279559871122922,,3115.412671176525,,,0.08635538791144431
